time="2023-01-25T10:08:16+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-25T10:08:16+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-25T10:08:17+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-25T10:08:21+08:00" level=info msg="[TCP] 127.0.0.1:57344 --> incoming.telemetry.mozilla.org:443 using GLOBAL"
time="2023-01-25T10:08:21+08:00" level=info msg="[TCP] 127.0.0.1:57352 --> firefox.settings.services.mozilla.com:443 using GLOBAL"
time="2023-01-25T10:08:21+08:00" level=info msg="[TCP] 127.0.0.1:57356 --> services.addons.mozilla.org:443 using GLOBAL"
time="2023-01-25T10:08:21+08:00" level=info msg="[TCP] 127.0.0.1:57372 --> push.services.mozilla.com:443 using GLOBAL"
time="2023-01-25T10:08:21+08:00" level=info msg="[TCP] 127.0.0.1:57376 --> r3.o.lencr.org:80 using GLOBAL"
time="2023-01-25T10:08:22+08:00" level=info msg="[TCP] 127.0.0.1:57382 --> incoming.telemetry.mozilla.org:443 using GLOBAL"
time="2023-01-25T10:08:22+08:00" level=info msg="[TCP] 127.0.0.1:57388 --> incoming.telemetry.mozilla.org:443 using GLOBAL"
time="2023-01-25T10:08:24+08:00" level=info msg="[TCP] 127.0.0.1:57404 --> manjaro.org:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57416 --> cdnjs.cloudflare.com:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57420 --> unpkg.com:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57426 --> unpkg.com:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57442 --> manjaro.org:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57458 --> ocsp.digicert.com:80 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57474 --> ocsp.digicert.com:80 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57496 --> manjaro.org:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57488 --> manjaro.org:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57500 --> matomo.manjaro.org:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57518 --> manjaro.org:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57520 --> manjaro.org:443 using GLOBAL"
time="2023-01-25T10:08:25+08:00" level=info msg="[TCP] 127.0.0.1:57506 --> cdnjs.cloudflare.com:443 using GLOBAL"
time="2023-01-25T10:08:26+08:00" level=info msg="[TCP] 127.0.0.1:57522 --> cdnjs.cloudflare.com:443 using GLOBAL"
time="2023-01-25T10:08:26+08:00" level=info msg="[TCP] 127.0.0.1:57534 --> platform.twitter.com:443 using GLOBAL"
time="2023-01-25T10:08:26+08:00" level=info msg="[TCP] 127.0.0.1:57538 --> manjaro.org:443 using GLOBAL"
time="2023-01-25T10:08:27+08:00" level=info msg="[TCP] 127.0.0.1:40042 --> syndication.twitter.com:443 using GLOBAL"
time="2023-01-25T10:08:29+08:00" level=info msg="[TCP] 127.0.0.1:40058 --> platform.twitter.com:443 using GLOBAL"
time="2023-01-25T10:08:29+08:00" level=info msg="[TCP] 127.0.0.1:40054 --> platform.twitter.com:443 using GLOBAL"
time="2023-01-25T10:08:29+08:00" level=info msg="[TCP] 127.0.0.1:40060 --> platform.twitter.com:443 using GLOBAL"
time="2023-01-25T10:08:30+08:00" level=info msg="[TCP] 127.0.0.1:40074 --> abs.twimg.com:443 using GLOBAL"
time="2023-01-25T10:08:30+08:00" level=info msg="[TCP] 127.0.0.1:40082 --> pbs.twimg.com:443 using GLOBAL"
time="2023-01-25T10:08:30+08:00" level=info msg="[TCP] 127.0.0.1:40098 --> pbs.twimg.com:443 using GLOBAL"
time="2023-01-25T10:08:31+08:00" level=info msg="[TCP] 127.0.0.1:40112 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:31+08:00" level=info msg="[TCP] 127.0.0.1:40114 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:32+08:00" level=info msg="[TCP] 127.0.0.1:40120 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:32+08:00" level=info msg="[TCP] 127.0.0.1:40136 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:32+08:00" level=info msg="[TCP] 127.0.0.1:40138 --> ocsp.globalsign.com:80 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40154 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40174 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40158 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40182 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40202 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40194 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40206 --> himg.bdimg.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40210 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40216 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40270 --> gimg3.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40244 --> gimg3.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40256 --> gimg3.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40246 --> gimg3.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40226 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40232 --> gimg3.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40310 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40314 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40276 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40318 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40288 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40304 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40330 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40346 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40362 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40380 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40382 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40388 --> hectorstatic.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40406 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40420 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40448 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40436 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40450 --> sp1.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40468 --> mss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40482 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:33+08:00" level=info msg="[TCP] 127.0.0.1:40452 --> mss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:34+08:00" level=info msg="[TCP] 127.0.0.1:40492 --> pss.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:34+08:00" level=info msg="[TCP] 127.0.0.1:40504 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40520 --> ss0.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40534 --> ss2.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40550 --> ss3.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40530 --> ss1.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40566 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40564 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40568 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40584 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40598 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40594 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40602 --> dss1.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40624 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40638 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40648 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40612 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40656 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40672 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40696 --> mbd.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40706 --> sp2.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40686 --> dss0.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40728 --> hpd.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40722 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40760 --> hpd.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40770 --> www.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40744 --> hpd.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:35+08:00" level=info msg="[TCP] 127.0.0.1:40762 --> hpd.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40776 --> dss1.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40786 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40796 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40800 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40804 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40806 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40812 --> b.bdstatic.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40826 --> sp3.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40838 --> hpd.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40848 --> hpd.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:36+08:00" level=info msg="[TCP] 127.0.0.1:40862 --> als.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47220 --> t11.baidu.com:443 using GLOBAL"
time="2023-01-25T10:08:37+08:00" level=info msg="[TCP] 127.0.0.1:47214 --> t11.baidu.com:443 using GLOBAL"
