time="2023-01-25T17:44:30+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-25T17:44:30+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-25T17:44:34+08:00" level=info msg="[TCP] 127.0.0.1:59012 --> github.com:443 using GLOBAL"
time="2023-01-25T17:44:35+08:00" level=info msg="[TCP] 127.0.0.1:59026 --> ocsp.digicert.com:80 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59040 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59054 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59052 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59034 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59066 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59068 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59082 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59092 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59134 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59096 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59144 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59128 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59100 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59116 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59156 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59172 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59178 --> avatars.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59190 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59200 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59242 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59212 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59278 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59308 --> avatars.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59288 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59334 --> avatars.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59318 --> avatars.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59302 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59344 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59348 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:44:36+08:00" level=info msg="[TCP] 127.0.0.1:59346 --> github.githubassets.com:443 using GLOBAL"
