time="2023-01-26T08:47:05+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-26T08:47:05+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47404 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47444 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47396 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47342 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47464 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47410 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47442 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47486 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47420 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47490 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47456 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47432 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47364 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:21+08:00" level=info msg="[TCP] 127.0.0.1:47418 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:22+08:00" level=info msg="[TCP] 127.0.0.1:47384 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:22+08:00" level=info msg="[TCP] 127.0.0.1:47414 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:22+08:00" level=info msg="[TCP] 127.0.0.1:47358 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:22+08:00" level=info msg="[TCP] 127.0.0.1:47378 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:22+08:00" level=info msg="[TCP] 127.0.0.1:47478 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47854 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47858 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47924 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47942 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47922 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47848 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47906 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47876 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47822 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47920 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47868 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47862 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47832 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47890 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47902 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47808 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47930 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47962 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:24+08:00" level=info msg="[TCP] 127.0.0.1:47956 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:25+08:00" level=info msg="[TCP] 127.0.0.1:47798 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47714 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47540 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47500 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47516 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47682 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47744 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47608 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47614 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47538 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47664 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47524 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47678 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47716 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47558 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47756 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47598 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47556 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47706 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47582 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47784 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47642 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47672 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47770 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47694 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47630 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47730 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47574 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:26+08:00" level=info msg="[TCP] 127.0.0.1:47658 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:27+08:00" level=info msg="[TCP] 127.0.0.1:42702 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42786 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:47:29+08:00" level=info msg="[TCP] 127.0.0.1:42816 --> 20.205.243.166:443 using GLOBAL"
